"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","required_fields (product.metafields.custom.required_fields)","Google: Custom Product (product.metafields.mm-google-shopping.custom_product)","Color (product.metafields.shopify.color-pattern)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"custom-graduation-pins-3-inch-senior-gift","Custom Graduation Pins 3 inch - Personalized Senior Gift","<p>Celebrate your favorite graduate with a one-of-a-kind custom pin! These large 3-inch pins are perfect for showcasing school pride, highlighting achievements, or adding a personal touch to grad parties and ceremonies.</p>

<p>Perfect for:<br>
Graduation gifts<br>
Party favors<br>
Cap and gown accessories<br>
Senior portraits<br>
Memory boards and keepsakes</p>

<p>Details:<br>
Size: 3 inches<br>
Finish: Glossy, vibrant, and durable<br>
Backing: Sturdy pin-back closure<br>
Made with love and attention to detail!</p>

<p>*Once you have ordered message me your photo.</p>","Midnight Muse Made","Arts & Entertainment > Party & Celebration > Party Supplies > Party Favors","Graduation Accessories","class_of_2025_gift, custom_badge, custom_grad_pin, custom_name_pin, custom_pin, graduate_button, graduation_favor, graduation_gift, graduation_pin, personalized_button, school_spirit_button, senior_gift","true","Style","White Background Cap","","","","","","","","","0.0","shopify","9","deny","manual","8.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/bb21cff5-il_fullxfull.6888966859_mth6_b31c5d0d-eae5-4d3d-82b5-6cad3bab8dee.jpg?v=1768963512","1","Custom 3 inch graduation pin with white background cap design, personalized senior gift","false","Custom Graduation Pins 3 inch | Personalized Senior Gift 2025","Create a one-of-a-kind 3-inch graduation pin with your photo. Perfect for grad parties, senior gifts & keepsakes. Handmade in Denver, CO. Shop now!","5709","","","","","","","","","","","What should your pin say?","","","","lb","","","active"
"custom-graduation-pins-3-inch-senior-gift","Custom Graduation Pins 3 inch - Personalized Senior Gift","","","","Graduation Accessories","","","","Cursive Full Photo","","","","","","","","","0.0","shopify","10","deny","manual","8.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/134d440d-il_fullxfull.6840994270_5v5r_996114f2-0910-485c-8ef2-d606af77a128.jpg?v=1768963512","2","Custom 3 inch graduation pin with white background cap design, personalized senior gift","","Custom Graduation Pins 3 inch | Personalized Senior Gift 2025","Create a one-of-a-kind 3-inch graduation pin with your photo. Perfect for grad parties, senior gifts & keepsakes. Handmade in Denver, CO. Shop now!","","","","","","","","","","","","","","","","lb","","",""
"custom-graduation-pins-3-inch-senior-gift","Custom Graduation Pins 3 inch - Personalized Senior Gift","","","","Graduation Accessories","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/a46039c3-il_fullxfull.6840993928_r4b8_86f61a38-dcbe-410a-88d4-a0190854cc23.jpg?v=1768963512","3","Custom 3 inch graduation pin with white background cap design, personalized senior gift","","Custom Graduation Pins 3 inch | Personalized Senior Gift 2025","Create a one-of-a-kind 3-inch graduation pin with your photo. Perfect for grad parties, senior gifts & keepsakes. Handmade in Denver, CO. Shop now!","","","","","","","","","","","","","","","","","","",""
"custom-graduation-pins-3-inch-senior-gift","Custom Graduation Pins 3 inch - Personalized Senior Gift","","","","Graduation Accessories","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/b7c1ea0f-il_fullxfull.6872958769_tnm8_6b3e762f-7f15-4519-b1f5-a50aac5bc0b1.jpg?v=1768963512","4","Custom 3 inch graduation pin with white background cap design, personalized senior gift","","Custom Graduation Pins 3 inch | Personalized Senior Gift 2025","Create a one-of-a-kind 3-inch graduation pin with your photo. Perfect for grad parties, senior gifts & keepsakes. Handmade in Denver, CO. Shop now!","","","","","","","","","","","","","","","","","","",""
"personalized-wood-slice-ornament-state-pet","Personalized Wood Slice Ornament - State or Pet Design","<p>Personalized Wood Slice Ornament – State or Pet Design 🎄</p>

<p>Celebrate your favorite place or furry friend with a custom wood slice ornament made just for you. Each piece is cut from real wood, so no two are exactly alike—perfect for rustic trees, travel-themed decor, and even dark, gothic holiday setups. 🌙</p>

<p>✨ What you’ll receive<br>
• One custom wood slice ornament (state outline or dog/cat design)<br>
• Personalized with your choice of name and year<br>
• Finished with natural jute twine, ready to hang on your tree</p>

<p>🖤 Design options<br>
• State Outline – Your chosen state, plus name and year (great for new homes or favorite trips)<br>
• Dog/Cat Design – Your pet’s breed silhouette (or style offered) and their name<br>
• Works beautifully on cozy farmhouse trees, woodland themes, and moody gothic holiday decor</p>

<p>🔍 Details<br>
• Real wood slice, approx. 3–3.5"" (sizes vary slightly due to natural wood)<br>
• Vinyl design on front (smooth and crisp against the wood grain)<br>
• Includes natural jute hanger; upgrade to a black ribbon in the shop (if available) for a darker, gothic look<br>
• Each ornament is made to order just for you in Denver, Colorado</p>

<p>🎁 Perfect for<br>
• New homeowners and “first Christmas in our new home”<br>
• Pet parents, dog moms/dads, and cat lovers<br>
• Travel lovers commemorating a favorite state or destination<br>
• Stocking stuffers, ornament exchanges, and holiday host gifts<br>
• Memorial ornaments in honor of a beloved pet</p>

<p>📝 How to order<br>
• Choose your Design from the dropdown: “State” or “Dog/Cat”<br>
• In the personalization box, include:<br>
• For State: State name + Name + Year<br>
• For Pet: Dog or cat breed + Pet name + Year (optional)<br>
• Example:<br>
• State: “Colorado – The Millers – 2024”<br>
• Pet: “German Shepherd – Luna – 2025”</p>

<p>🌲 Please note<br>
• Wood slices will vary slightly in shape, bark, and grain—this is part of their rustic charm and makes each ornament one of a kind.<br>
• Colors may appear a bit different from screen to screen, but the natural wood and design will be as shown in the listing photos.</p>

<p>If you’d like a different ribbon color, a specific breed, or a more gothic/spooky vibe for your ornament photos, feel free to message me—I love custom ideas. 🕯️🖤</p>","Midnight Muse Made","Home & Garden > Decor > Seasonal & Holiday Decorations > Holiday Ornaments","Holiday Ornaments","custom_cat_ornament, custom_dog_ornament, gothic_christmas_pet, new_home_ornament, personalized_pet, pet_memorial_decor, rustic_tree_decor, rustic_xmas_ornament, spooky_holiday_decor, state_outline_decor, travel_keepsake_gift, Vinyl, Wood, wood_slice_ornament, woodland_christmas","true","Design","State","","","","","","","","","0.0","shopify","10","deny","manual","10.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/d435e700-il_fullxfull.7434519456_51qu_31b2ac9f-d6ae-4d15-89c5-411d5c13c6d6.jpg?v=1768963510","1","Personalized wood slice ornament with Colorado state outline, name and year engraved","false","Personalized Wood Slice Ornament | State or Pet Design","Custom real wood slice ornament with state outline or pet silhouette. Perfect rustic Christmas decor. Handmade in Denver. Order yours today!","3144","","","","","","","","","","","What dog breed or state would you like?","","","","lb","","","active"
"personalized-wood-slice-ornament-state-pet","","","","","Holiday Ornaments","","","","Dog/Cat","","","","","","","","","0.0","shopify","10","deny","manual","10.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/604b8be9-il_fullxfull.6732030299_g34z_a032be23-c93b-424e-8102-c7dd25a3d477.jpg?v=1768963510","2","Personalized wood slice ornament with Colorado state outline, name and year engraved","","Personalized Wood Slice Ornament | State or Pet Design","Custom real wood slice ornament with state outline or pet silhouette. Perfect rustic Christmas decor. Handmade in Denver. Order yours today!","","","","","","","","","","","","","","","","lb","","",""
"custom-dog-breed-leatherette-patch","Custom Dog Breed Leatherette Patch with Name","<p>Celebrate the bond between you and your furry best friend with these custom 3 inch x 2 inch leatherette iron-on patches! Each one is laser-engraved with your dog’s name and breed, perfect for adding a personal touch to jackets, hats, bags, bandanas, or even your child’s gear.</p>

<p>Whether it’s for you and your pup, or a special matching moment for your child and their best buddy, these patches make the sweetest personalized accessory. They make great gifts for dog parents, kids, or anyone who loves their pup like family.</p>

<p>How to Order:<br>
1. Choose your dog’s breed design from the chart (numbers 1–21).<br>
2. Fill out the personalization box with: The breed number (example: “#8”) The name you’d like to appear on the patch (example: “Luna’s Bestie”), so that it reads something like ""#8 Luna's Bestie.""<br>
3. If your dog’s breed isn’t shown, message me for more options! I’m happy to customize it for you.</p>

<p>*Please note: This listing is for the patch only. Hats, bags, or other items shown are for display purposes and are not included.</p>","Midnight Muse Made","Apparel & Accessories > Clothing Accessories > Patches & Pins","Pet Accessories","custom_dog_name, custom_jacket_patch, custom_pet_patch, dog_bandana_patch, dog_breed_patch, dog_mom_gift, Faux leather, faux_leather_patch, iron_on_name_patch, kids_name_patch, laser_engraved_patch, leatherette_patch, personal_dog_patch, pet_lover_gift","true","Title","Default Title","","","","","","","","","0.0","shopify","29","deny","manual","12.00","","false","false","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/9d915ab9-il_fullxfull.7550340685_524s_99309f5b-174c-4a95-a99c-648a943d9420.jpg?v=1768963509","1","Custom dog breed leatherette patch with laser-engraved name, 3x2 inch iron-on design","false","Custom Dog Breed Leatherette Patch | Personalized Pet Name","Laser-engraved 3x2 inch leatherette patch with your dog breed & name. Iron-on for jackets, hats & bags. Perfect dog mom gift. Shop now!","166","","","","","","","","","","","Please enter the number of your dog breed (see images with 1-21)
What should you patch say?","","","","lb","","","active"
"custom-dog-breed-leatherette-patch","","","","","Pet Accessories","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/49159b89-il_fullxfull.7359355776_g1d5_8c42ca2a-87ab-4a6b-ad2e-d1eb482dc651.jpg?v=1768963509","2","Custom dog breed leatherette patch with laser-engraved name, 3x2 inch iron-on design","","Custom Dog Breed Leatherette Patch | Personalized Pet Name","Laser-engraved 3x2 inch leatherette patch with your dog breed & name. Iron-on for jackets, hats & bags. Perfect dog mom gift. Shop now!","","","","","","","","","","","","","","","","","","",""
"custom-dog-breed-leatherette-patch","","","","","Pet Accessories","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/0d27e403-il_fullxfull.7502383456_kqmh_f06ca2f8-1fa8-4b6b-8e3c-b25503195a75.jpg?v=1768963510","3","Custom dog breed leatherette patch with laser-engraved name, 3x2 inch iron-on design","","Custom Dog Breed Leatherette Patch | Personalized Pet Name","Laser-engraved 3x2 inch leatherette patch with your dog breed & name. Iron-on for jackets, hats & bags. Perfect dog mom gift. Shop now!","","","","","","","","","","","","","","","","","","",""
"custom-dog-breed-leatherette-patch","","","","","Pet Accessories","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0984/3464/6308/files/bd0fbf3e-il_fullxfull.7550319825_l7mh_0b9aac3d-6d22-4b98-a82b-35e5ec2a12c0.jpg?v=1768963509","4","Custom dog breed leatherette patch with laser-engraved name, 3x2 inch iron-on design","","Custom Dog Breed Leatherette Patch | Personalized Pet Name","Laser-engraved 3x2 inch leatherette patch with your dog breed & name. Iron-on for jackets, hats & bags. Perfect dog mom gift. Shop now!","","","","","","","","","","","","","","","","","","",""
